Date,CorpA,JewelryShop,CorpB,FlowerShop,CouchShop,CorpB,CorpC,CorpD
2015-03-01,0,935,0,0,0,0,0,0
2015-03-02,0,1085,0,56540,19455,0,0,0
2015-03-03,0,1044,0,54540,25342,0,0,0
2015-03-04,0,917,0,55240,21870,0,0,0
2015-03-05,0,771,0,49580,20865,0,0,0
2015-03-06,0,709,0,43000,18416,0,0,0
2015-03-07,0,547,0,22900,18679,0,0,0
2015-03-08,0,754,0,25060,19603,0,0,0
2015-03-09,0,958,0,51800,19826,0,0,0
2015-03-10,0,875,0,50660,19283,0,0,0
2015-03-11,0,929,0,49100,19243,0,0,0
2015-03-12,0,651,0,45160,29856,0,0,0
2015-03-13,0,667,0,43740,19846,0,0,0
2015-03-14,0,627,0,24260,20920,0,0,0
2015-03-15,0,837,0,26800,32174,0,0,0
2015-03-16,0,1153,0,52340,26598,0,0,0
2015-03-17,0,820,0,47820,24873,0,0,0
2015-03-18,0,825,0,46980,17012,0,0,0
2015-03-19,0,784,0,45460,15859,0,0,0
2015-03-20,0,704,0,41900,16201,0,0,0
2015-03-21,0,488,0,21380,15012,0,0,0
2015-03-22,0,602,0,24240,28854,0,0,0
2015-03-23,0,753,0,51020,17830,0,0,0
2015-03-24,0,651,0,47400,20927,0,0,0
2015-03-25,0,766,0,47840,18251,0,0,0
2015-03-26,0,677,0,46180,22607,0,0,0
2015-03-27,0,664,0,44700,22392,0,0,0
2015-03-28,0,385,0,26640,17196,0,0,0
2015-03-29,0,550,0,31300,23974,0,0,0
2015-03-30,0,766,0,65000,25441,0,0,0
2015-03-31,0,642,0,67780,19199,0,0,0
2015-04-01,0,666,0,71000,40576,0,0,0
2015-04-02,0,630,0,71040,50790,0,0,0
2015-04-03,0,534,0,62320,48940,0,0,0
2015-04-04,0,393,0,29080,57288,0,0,0
2015-04-05,0,438,0,21400,47891,0,0,0
2015-04-06,0,727,0,49200,62575,0,0,0
2015-04-07,0,727,0,47440,75263,0,0,0
2015-04-08,0,685,0,48040,67172,0,0,0
2015-04-09,0,670,0,42660,56907,0,0,0
2015-04-10,0,540,0,40020,70766,0,0,0
2015-04-11,0,372,0,25120,88057,0,0,0
2015-04-12,0,571,0,27060,63722,0,0,0
2015-04-13,0,2038,0,49940,108476,0,0,0
2015-04-14,0,1119,0,48820,74477,0,0,0
2015-04-15,0,774,0,51920,73796,0,0,0
2015-04-16,0,614,0,47960,70687,0,0,0
2015-04-17,0,574,0,44200,63973,0,0,0
2015-04-18,0,409,0,23580,59897,0,0,0
2015-04-19,0,599,0,28700,69848,0,0,0
2015-04-20,0,922,0,64420,65911,0,0,0
2015-04-21,0,864,0,68980,60174,0,0,0
2015-04-22,0,796,0,71140,42816,0,0,0
2015-04-23,0,750,0,64320,68183,0,0,0
2015-04-24,0,689,0,50240,102523,0,0,0
2015-04-25,0,500,0,35560,105732,0,0,0
2015-04-26,0,646,0,43360,113843,0,0,0
2015-04-27,0,976,0,96720,107953,0,0,0
2015-04-28,0,1016,0,67660,71283,0,0,0
2015-04-29,0,978,0,73060,75933,0,0,0
